account_id,geo_match_count,geo_under_500_count,geo_between_501_1000_count,geo_between_1001_1599_count,geo_between_1600_1800_count,geo_proximity_score,connections,matched_locations,memo_values
ACCT00027,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT02487,2,0,1,1,0,10,3,Normal non-reference transaction location,3
ACCT00028,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT01617,3,1,0,2,0,16,3,"Normal non-reference transaction location; Veracruz de Ignacio de la Llave, Mexico",2
ACCT00029,4,1,1,1,1,22,4,Normal non-reference transaction location,3
ACCT02406,3,1,2,0,0,24,3,Normal non-reference transaction location,3
ACCT00030,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT00955,4,1,0,1,2,17,4,"Normal non-reference transaction location; Paseo International South, San Diego, CA",4
ACCT00031,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT01962,2,1,0,1,0,13,2,Normal non-reference transaction location,2
ACCT00032,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT01534,4,1,2,0,1,26,4,Normal non-reference transaction location,4
ACCT00033,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT02281,2,1,0,0,1,12,2,Normal non-reference transaction location,2
ACCT00034,2,2,0,0,0,20,2,Normal non-reference transaction location,2
ACCT01697,2,1,0,1,0,13,2,Normal non-reference transaction location,2
ACCT00035,2,2,0,0,0,20,3,Normal non-reference transaction location,3
ACCT01884,3,1,0,1,1,15,3,"Normal non-reference transaction location; Juarez, Chihuahua, Mexico",3
ACCT00036,2,1,0,1,0,13,3,Normal non-reference transaction location,3
ACCT00711,3,1,0,2,0,16,3,Normal non-reference transaction location,3
ACCT00037,2,1,0,0,1,12,3,Normal non-reference transaction location,3
ACCT02434,2,0,2,0,0,14,3,Normal non-reference transaction location,3
ACCT00038,2,0,1,1,0,10,2,"Normal non-reference transaction location; San Ysidro Blvd, San Diego, CA",2
ACCT00270,2,0,1,1,0,10,3,Normal non-reference transaction location,3
ACCT00039,2,1,0,1,0,13,3,Normal non-reference transaction location,2
ACCT00564,1,1,0,0,0,10,2,Normal non-reference transaction location,2
ACCT00040,1,0,0,0,1,2,2,Normal non-reference transaction location,2
ACCT00664,1,0,0,1,0,3,2,Normal non-reference transaction location,2
ACCT00041,2,0,0,1,1,5,2,Normal non-reference transaction location,2
ACCT00599,2,0,0,1,1,5,2,Normal non-reference transaction location,2
ACCT00042,2,0,0,1,1,5,3,"Normal non-reference transaction location; Juarez, Chihuahua, Mexico",3
ACCT00986,5,2,1,2,0,33,5,Normal non-reference transaction location,4
ACCT00043,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT00180,5,1,3,0,1,33,5,"Normal non-reference transaction location; San Ysidro Blvd, San Diego, CA; Lincoln/Juarez Bridge, Laredo, TX; Anliang Dongyi Financial Plaza, Hefei, Anhui, China",4
ACCT00044,2,1,0,0,1,12,2,"Normal non-reference transaction location; Manzanillo, Colima, Mexico",2
ACCT01204,4,2,0,1,1,25,4,"Mexicali, Baja California, Mexico; Normal non-reference transaction location; Manzanillo, Colima, Mexico",3
ACCT00045,3,1,1,1,0,20,3,"Henan Ruiju Biotechnology, Zhengzhou, Henan, China; Bridge of the Americas Port Entry, El Paso, TX; Badiraguato, Sinaloa, Mexico",2
ACCT00315,1,0,0,1,0,3,2,"Henan Ruiju Biotechnology, Zhengzhou, Henan, China",2
ACCT00046,1,0,0,0,1,2,2,"7141 Office City Dr, Houston, TX",2
ACCT00569,4,1,3,0,0,31,5,"Normal non-reference transaction location; Lincoln/Juarez Bridge, Laredo, TX; Manzanillo, Colima, Mexico",4
ACCT00047,2,1,0,1,0,13,3,Normal non-reference transaction location,3
ACCT00924,3,0,1,1,1,12,3,"Normal non-reference transaction location; Avenida Marina Nacional No 329, Miguel Hidalgo, Ciudad de Mexico",3
ACCT00048,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT00648,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT00049,1,1,0,0,0,10,1,"Altamira, Tamaulipas, Mexico",1
ACCT02043,3,3,0,0,0,30,3,"Normal non-reference transaction location; Altamira, Tamaulipas, Mexico",3
ACCT00050,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT00528,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT00051,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT01088,3,1,2,0,0,24,4,Normal non-reference transaction location,3
ACCT00052,1,0,0,1,0,3,1,"Badiraguato, Sinaloa, Mexico",1
ACCT02238,2,0,1,1,0,10,2,"Lincoln/Juarez Bridge, Laredo, TX; Badiraguato, Sinaloa, Mexico",2
ACCT00053,1,0,0,1,0,3,1,PRC to Sinaloa Corridor,1
ACCT00563,2,0,0,2,0,6,2,Normal non-reference transaction location; PRC to Sinaloa Corridor,2
ACCT00054,2,0,1,1,0,10,2,Normal non-reference transaction location,1
ACCT02327,3,0,2,1,0,17,3,Normal non-reference transaction location,3
ACCT00055,1,0,0,0,1,2,1,Normal non-reference transaction location,1
ACCT01572,2,0,0,1,1,5,2,Normal non-reference transaction location,2
ACCT00056,3,1,0,1,1,15,3,"Normal non-reference transaction location; 4215 Ketcham Street, Elmhurst, NY; Bachigualato, Culiacan, Sinaloa",3
ACCT02164,2,1,0,1,0,13,3,"Normal non-reference transaction location; Bachigualato, Culiacan, Sinaloa",3
ACCT00057,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT00247,3,1,1,0,1,19,3,"Mexicali, Baja California, Mexico; Normal non-reference transaction location",3
ACCT00058,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT00773,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT00059,1,0,0,0,1,2,1,"Altamira, Tamaulipas, Mexico",1
ACCT00906,3,0,1,0,2,11,3,"Normal non-reference transaction location; Lazaro Cardenas Port, Michoacan, Mexico; Altamira, Tamaulipas, Mexico",2
ACCT00060,0,0,0,0,0,0,1,,1
ACCT00781,1,0,0,1,0,3,2,"Juarez, Chihuahua, Mexico",2
ACCT00061,2,1,1,0,0,17,2,"Normal non-reference transaction location; Hebei Blvd, Zhengding, Shijiazhuang, Hebei, China",2
ACCT00404,3,1,1,1,0,20,3,"Normal non-reference transaction location; Hanhong Medicine Technology Company, Wuhan, China; Hebei Blvd, Zhengding, Shijiazhuang, Hebei, China",2
ACCT00062,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT00619,1,0,1,0,0,7,2,Normal non-reference transaction location,2
ACCT00063,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT00383,4,1,2,1,0,27,4,Normal non-reference transaction location,4
ACCT00064,1,0,0,1,0,3,2,Normal non-reference transaction location,2
ACCT01359,2,1,1,0,0,17,3,Normal non-reference transaction location,3
ACCT00065,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT00066,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT01228,3,0,2,1,0,17,3,"Normal non-reference transaction location; Anliang Dongyi Financial Plaza, Hefei, Anhui, China",2
ACCT00067,2,1,0,1,0,13,2,Normal non-reference transaction location,2
ACCT00819,3,1,0,1,1,15,3,Normal non-reference transaction location,3
ACCT00068,2,2,0,0,0,20,2,"Normal non-reference transaction location; San Ysidro Blvd, San Diego, CA",2
ACCT01637,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT00069,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT01307,3,1,0,2,0,16,3,Normal non-reference transaction location,3
ACCT00070,1,0,1,0,0,7,2,Normal non-reference transaction location,2
ACCT01875,2,1,1,0,0,17,3,"Normal non-reference transaction location; Henan Ruiju Biotechnology, Zhengzhou, Henan, China",2
ACCT00071,2,0,1,0,1,9,2,"Normal non-reference transaction location; Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China",2
ACCT00684,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT00072,0,0,0,0,0,0,1,,1
ACCT02225,1,0,1,0,0,7,4,Normal non-reference transaction location,4
ACCT00073,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT02346,1,0,0,1,0,3,2,Normal non-reference transaction location,2
ACCT00074,0,0,0,0,0,0,1,,1
ACCT01630,1,1,0,0,0,10,2,Normal non-reference transaction location,2
ACCT00075,3,2,0,0,1,22,3,"Normal non-reference transaction location; PRC Corridor to Sinaloa, Mexico Corridor",2
ACCT00374,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT00076,2,0,1,1,0,10,2,"Normal non-reference transaction location; Jiangsu Bangdeya New Material Technology Company, Changzhou, China",2
ACCT01687,3,0,1,2,0,13,3,Normal non-reference transaction location,3
ACCT00077,1,0,0,1,0,3,1,"216 Zhongshan East Rd, Shijiazhuang, Hebei, China",1
ACCT00541,3,0,2,1,0,17,3,"216 Zhongshan East Rd, Shijiazhuang, Hebei, China; Normal non-reference transaction location",2
ACCT00078,2,2,0,0,0,20,2,Normal non-reference transaction location,2
ACCT01002,3,2,0,1,0,23,3,"Normal non-reference transaction location; 7141 Office City Dr, Houston, TX; Bay of Campeche, Veracruz, Mexico",3
ACCT00079,1,0,0,1,0,3,1,"Lincoln/Juarez Bridge, Laredo, TX",1
ACCT00645,3,0,2,1,0,17,3,"Normal non-reference transaction location; Lincoln/Juarez Bridge, Laredo, TX; Paseo International South, San Diego, CA",3
ACCT00080,0,0,0,0,0,0,1,,1
ACCT00354,1,0,1,0,0,7,2,Normal non-reference transaction location,2
ACCT00081,2,0,0,2,0,6,2,"Normal non-reference transaction location; 7141 Office City Dr, Houston, TX",2
ACCT00949,4,1,1,1,1,22,4,"Normal non-reference transaction location; 7141 Office City Dr, Houston, TX",4
ACCT00082,3,0,1,2,0,13,3,"Mexicali, Baja California, Mexico; Normal non-reference transaction location; Veracruz de Ignacio de la Llave, Mexico",3
ACCT01263,2,0,0,2,0,6,3,Normal non-reference transaction location,3
ACCT00083,4,0,2,1,1,19,4,"Blvd Dolores del Rio No. 704, Queretaro; Normal non-reference transaction location; Refineria Lazaro Cardenas del Rio, Minatitlan, Veracruz",4
ACCT02386,2,0,2,0,0,14,2,"Normal non-reference transaction location; Refineria Lazaro Cardenas del Rio, Minatitlan, Veracruz",2
ACCT00084,4,1,0,1,2,17,4,Normal non-reference transaction location,4
ACCT02154,2,0,1,0,1,9,2,"Normal non-reference transaction location; Jiangsu Bangdeya New Material Technology Company, Changzhou, China",2
ACCT00085,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT01303,2,0,1,1,0,10,2,Normal non-reference transaction location,2
ACCT00086,2,1,0,1,0,13,2,Normal non-reference transaction location,2
ACCT01621,2,1,1,0,0,17,2,"Normal non-reference transaction location; 216 Zhongshan East Rd, Shijiazhuang, Hebei, China",2
ACCT00087,1,0,1,0,0,7,1,"Avenida Marina Nacional No 329, Miguel Hidalgo, Ciudad de Mexico",1
ACCT01309,3,0,2,0,1,16,3,"Normal non-reference transaction location; Hanhong Medicine Technology Company, Wuhan, China; Avenida Marina Nacional No 329, Miguel Hidalgo, Ciudad de Mexico",3
ACCT00088,3,0,1,2,0,13,3,"Normal non-reference transaction location; PRC Corridor to Sinaloa, Mexico Corridor",3
ACCT02241,3,1,0,2,0,16,3,Normal non-reference transaction location,3
ACCT00089,1,1,0,0,0,10,2,Normal non-reference transaction location,2
ACCT00700,2,1,1,0,0,17,2,"Normal non-reference transaction location; Lazaro Cardenas, Michoacan, Mexico",2
ACCT00090,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT00966,4,2,0,1,1,25,4,"Normal non-reference transaction location; Av Central 450, Reynosa, Tamaulipas",4
ACCT00091,4,0,3,1,0,24,4,"Normal non-reference transaction location; Yanking Blvd, Jiangtan, Jiang'an District, Wuhan, China",4
ACCT00092,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT01384,3,1,0,2,0,16,4,"Normal non-reference transaction location; Altamira, Tamaulipas, Mexico",3
ACCT00093,2,1,0,0,1,12,2,"Normal non-reference transaction location; Veracruz de Ignacio de la Llave, Mexico",1
ACCT01477,2,1,1,0,0,17,2,"Normal non-reference transaction location; Veracruz de Ignacio de la Llave, Mexico",1
ACCT00094,1,0,0,0,1,2,1,Normal non-reference transaction location,1
ACCT01034,2,1,0,0,1,12,2,"Normal non-reference transaction location; Hanhong Medicine Technology Company, Wuhan, China",2
ACCT00095,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT01310,2,0,0,2,0,6,2,Normal non-reference transaction location,2
ACCT00096,2,1,0,0,1,12,2,Normal non-reference transaction location,1
ACCT01068,2,1,0,0,1,12,2,Normal non-reference transaction location,2
ACCT00097,3,0,1,1,1,12,3,Normal non-reference transaction location,3
ACCT02361,3,1,0,2,0,16,3,"Normal non-reference transaction location; Cadereyta Jimenez, Nuevo Leon, Mexico",3
ACCT00098,1,0,0,1,0,3,1,"7141 Office City Dr, Houston, TX",1
ACCT02147,4,2,0,2,0,26,5,"Normal non-reference transaction location; 7141 Office City Dr, Houston, TX; Tamazula de Gordiano, Jalisco, Mexico",5
ACCT00099,2,0,0,2,0,6,2,Normal non-reference transaction location,2
ACCT00100,3,0,2,0,1,16,3,"Normal non-reference transaction location; Henan Ruiju Biotechnology, Zhengzhou, Henan, China; 5900 Highway 225, Deer Park, TX",3
ACCT02096,3,0,0,0,3,6,3,"Normal non-reference transaction location; Henan Ruiju Biotechnology, Zhengzhou, Henan, China; Altamira, Tamaulipas, Mexico",3
ACCT00101,2,0,0,2,0,6,2,Normal non-reference transaction location,2
ACCT00464,3,1,0,2,0,16,3,Normal non-reference transaction location,3
ACCT00102,1,0,1,0,0,7,2,Normal non-reference transaction location,2
ACCT01974,2,1,0,1,0,13,3,Normal non-reference transaction location,3
ACCT00103,2,1,1,0,0,17,2,Normal non-reference transaction location,1
ACCT01653,3,1,1,1,0,20,3,Normal non-reference transaction location,2
ACCT00104,1,0,1,0,0,7,1,"Manzanillo, Colima, Mexico",1
ACCT00769,5,3,1,1,0,40,5,"Normal non-reference transaction location; 111 Jalnidhi Complex, Opp. Bahumali Building, Surat, Gujarat 395001; Tamazula de Gordiano, Jalisco, Mexico; Manzanillo, Colima, Mexico",5
ACCT00105,2,0,1,1,0,10,3,Normal non-reference transaction location,3
ACCT01205,2,0,1,1,0,10,2,Normal non-reference transaction location,2
ACCT00106,3,1,0,0,2,14,3,"Normal non-reference transaction location; PRC Corridor to Sinaloa, Mexico Corridor",3
ACCT00232,2,0,0,1,1,5,2,Normal non-reference transaction location,2
ACCT00107,1,1,0,0,0,10,2,Normal non-reference transaction location,2
ACCT01839,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT00108,1,0,0,0,1,2,3,Normal non-reference transaction location,3
ACCT01432,3,0,2,0,1,16,4,"Normal non-reference transaction location; Hanhong Medicine Technology Company, Wuhan, China; Lazaro Cardenas Port, Michoacan, Mexico",4
ACCT00109,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT00338,2,0,1,0,1,9,2,Normal non-reference transaction location,2
ACCT00110,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT01774,4,0,2,2,0,20,4,"Normal non-reference transaction location; Xiamen Section, China Pilot Free Trade Zone",3
ACCT00111,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT01345,3,2,1,0,0,27,4,Normal non-reference transaction location,4
ACCT00113,2,0,1,1,0,10,3,"Normal non-reference transaction location; 7141 Office City Dr, Houston, TX",3
ACCT01660,2,0,1,1,0,10,2,"Normal non-reference transaction location; 7141 Office City Dr, Houston, TX",2
ACCT00114,3,1,1,1,0,20,4,Normal non-reference transaction location,4
ACCT00847,4,2,1,0,1,29,4,"Normal non-reference transaction location; Badiraguato, Sinaloa, Mexico; Rancho la Lagunita, Mezquital, Durango",4
ACCT00115,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT00766,2,0,1,1,0,10,2,Normal non-reference transaction location,2
ACCT00116,2,1,0,1,0,13,2,Normal non-reference transaction location,2
ACCT01973,4,3,0,1,0,33,4,Normal non-reference transaction location,4
ACCT00117,2,1,0,0,1,12,2,"Blvd Dolores del Rio No. 704, Queretaro; Normal non-reference transaction location",2
ACCT02171,3,1,2,0,0,24,3,Normal non-reference transaction location,3
ACCT00118,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT01735,2,0,1,1,0,10,2,Normal non-reference transaction location,2
ACCT00119,2,2,0,0,0,20,3,Normal non-reference transaction location,3
ACCT00263,3,1,1,1,0,20,3,Normal non-reference transaction location,3
ACCT00120,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT00282,2,0,1,1,0,10,2,Normal non-reference transaction location,2
ACCT00121,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT00277,3,2,0,0,1,22,3,Normal non-reference transaction location,3
ACCT00122,1,0,0,0,1,2,1,Normal non-reference transaction location,1
ACCT00492,3,0,0,1,2,7,4,Normal non-reference transaction location,4
ACCT00123,3,1,0,1,1,15,3,Normal non-reference transaction location,3
ACCT01555,3,0,0,0,3,6,3,"Normal non-reference transaction location; 4215 Ketcham Street, Elmhurst, NY",3
ACCT00124,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT02118,4,0,1,0,3,13,4,"Mexicali, Baja California, Mexico; Normal non-reference transaction location; 216 Zhongshan East Rd, Shijiazhuang, Hebei, China",4
ACCT00125,2,0,1,0,1,9,3,"111 Jalnidhi Complex, Opp. Bahumali Building, Surat, Gujarat 395001; Bachigualato, Culiacan, Sinaloa",3
ACCT00594,2,1,0,1,0,13,3,Normal non-reference transaction location,3
ACCT00126,1,0,0,1,0,3,2,Normal non-reference transaction location,1
ACCT00426,1,0,0,0,1,2,2,Normal non-reference transaction location,1
ACCT00127,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT01262,2,0,2,0,0,14,2,Normal non-reference transaction location,2
ACCT00128,2,1,0,1,0,13,2,Normal non-reference transaction location,2
ACCT02179,3,2,0,0,1,22,3,"Normal non-reference transaction location; Manzanillo, Colima, Mexico",2
ACCT00129,1,0,0,1,0,3,2,Normal non-reference transaction location,2
ACCT00130,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT00214,3,1,0,1,1,15,3,Normal non-reference transaction location,2
ACCT00131,2,1,0,1,0,13,3,"Normal non-reference transaction location; San Ysidro Blvd, San Diego, CA",3
ACCT01548,1,0,1,0,0,7,2,Normal non-reference transaction location,2
ACCT00132,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT02038,2,2,0,0,0,20,2,Normal non-reference transaction location,2
ACCT00133,2,1,1,0,0,17,2,"Normal non-reference transaction location; 2350 N Sam Houston Parkway East, Houston, TX",2
ACCT00167,4,1,1,2,0,23,4,"Normal non-reference transaction location; 2350 N Sam Houston Parkway East, Houston, TX",3
ACCT00134,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT00135,1,0,0,0,1,2,1,"Paseo International South, San Diego, CA",1
ACCT00136,1,0,0,0,1,2,1,Normal non-reference transaction location,1
ACCT01826,3,1,0,0,2,14,3,Normal non-reference transaction location; PRC to Sinaloa Corridor,3
ACCT00137,2,1,0,1,0,13,2,"Brownsville, TX; Normal non-reference transaction location",1
ACCT01314,2,0,0,2,0,6,3,Normal non-reference transaction location,2
ACCT00138,3,0,2,1,0,17,3,Normal non-reference transaction location,3
ACCT01060,2,0,1,1,0,10,2,Normal non-reference transaction location,2
ACCT00139,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT02051,2,1,0,1,0,13,2,Normal non-reference transaction location,2
ACCT00140,0,0,0,0,0,0,1,,1
ACCT01280,2,1,0,0,1,12,4,Normal non-reference transaction location,4
ACCT00141,2,1,1,0,0,17,2,Normal non-reference transaction location,2
ACCT00539,3,0,3,0,0,21,3,"Normal non-reference transaction location; Lincoln/Juarez Bridge, Laredo, TX",3
ACCT00142,1,0,0,1,0,3,1,Normal non-reference transaction location,1
ACCT01659,3,0,0,2,1,8,3,"Normal non-reference transaction location; Veracruz de Ignacio de la Llave, Mexico",3
ACCT00143,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT00144,1,0,0,0,1,2,1,"4215 Ketcham Street, Elmhurst, NY",1
ACCT00733,5,2,2,0,1,36,5,"Blvd Dolores del Rio No. 704, Queretaro; Normal non-reference transaction location; 4215 Ketcham Street, Elmhurst, NY",4
ACCT00145,0,0,0,0,0,0,3,,3
ACCT00151,4,2,2,0,0,34,5,Normal non-reference transaction location,4
ACCT00146,1,0,1,0,0,7,1,Normal non-reference transaction location,1
ACCT00239,2,0,1,1,0,10,2,"Normal non-reference transaction location; 4215 Ketcham Street, Elmhurst, NY",1
ACCT00147,2,0,1,1,0,10,2,Normal non-reference transaction location,2
ACCT01043,4,2,0,1,1,25,4,"Normal non-reference transaction location; Henan Ruiju Biotechnology, Zhengzhou, Henan, China",3
ACCT00148,2,0,2,0,0,14,2,"Normal non-reference transaction location; PRC Corridor to Sinaloa, Mexico Corridor",1
ACCT00612,2,0,1,1,0,10,3,"Normal non-reference transaction location; PRC Corridor to Sinaloa, Mexico Corridor",3
ACCT00149,1,1,0,0,0,10,1,Normal non-reference transaction location,1
ACCT00587,3,1,2,0,0,24,3,Normal non-reference transaction location,3
ACCT00150,1,1,0,0,0,10,1,"Badiraguato, Sinaloa, Mexico",1
ACCT00589,2,0,2,0,0,14,2,Normal non-reference transaction location,1
ACCT00152,2,0,2,0,0,14,3,"Normal non-reference transaction location; Juarez, Chihuahua, Mexico",3
ACCT02421,3,1,1,1,0,20,3,"Normal non-reference transaction location; San Luis, AZ",3
ACCT00153,2,0,0,2,0,6,2,Normal non-reference transaction location,2
ACCT02336,2,0,0,1,1,5,3,Normal non-reference transaction location,2
ACCT00154,2,0,0,0,2,4,2,Normal non-reference transaction location,2
ACCT01709,2,0,0,1,1,5,2,Normal non-reference transaction location,2
ACCT00155,2,1,1,0,0,17,2,"Normal non-reference transaction location; Henan Ruiju Biotechnology, Zhengzhou, Henan, China",1
ACCT00156,1,0,0,0,1,2,1,Normal non-reference transaction location,1
ACCT02448,2,0,0,1,1,5,2,Normal non-reference transaction location,2
ACCT00157,4,2,1,1,0,30,4,Normal non-reference transaction location,4
ACCT00595,2,1,1,0,0,17,2,Normal non-reference transaction location,2
